
date,2023-09-17T19:30:00-07:00,,,,,,,,,,,,,,,,,,
home_score,51,,,,,,,,,,,,,,,,,,
away_score,58,,,,,,,,,,,,,,,,,,
location,"Veteran's Hall, Grass Valley CA",,,,,,,,,,,,,,,,,,
season_id,1,,,,,,,,,,,,,,,,,,
home_team,4,,,,,,,,,,,,,,,,,,
away_team,3,,,,,,,,,,,,,,,,,,
referee1,Carl,,,,,,,,,,,,,,,,,,
referee2,Nathan,,,,,,,,,,,,,,,,,,
,Ryan's Wos Wangeles Wakers,,,ID,PLAYED?,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
home_stat,12,Owen,McIver,34,T,8,3,3,0,1,1,0,3,3,1,2,1,1,7
home_stat,33,Chris,Wheeler,7,T,2,1,2,0,2,1,1,1,0,1,0,4,0,3
home_stat,4,Aiden,Panock,35,T,5,2,7,3,2,2,1,3,1,0,1,1,0,15
home_stat,3,Ryan,Clark,4,T,6,4,7,1,1,0,1,2,0,1,1,0,4,11
home_stat,21,Michael,White,16,T,2,0,1,0,0,0,1,2,3,0,0,1,1,0
home_stat,7,Iain,Dooly,17,T,5,2,3,1,0,0,3,1,1,1,1,1,2,7
home_stat,22,Evan,Portier,24,T,2,2,0,0,2,2,1,0,1,0,1,1,0,6
home_stat,10,Eric,Andreson,28,T,2,0,0,0,0,0,1,1,1,0,0,0,1,0
home_stat,2,Cadian,Ramirez,32,T,1,1,1,0,2,0,1,0,0,0,0,0,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Brian's Grass Valley Royals,,,ID,PLAYED?,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
away_stat,23,Brian,Fererro,3,T,3,2,2,0,3,1,0,0,0,0,0,3,1,5
away_stat,84,Jared,Brautigam,11,T,6,2,3,1,2,0,1,10,1,1,0,3,2,7
away_stat,1,Kenny,G,15,T,3,1,4,3,0,0,0,1,3,3,0,1,0,11
away_stat,12,Josh,Fisher,18,T,2,1,0,0,0,0,0,2,3,0,1,0,2,2
away_stat,9,Tyler,Salcedo,19,T,1,1,1,1,0,0,0,1,0,1,0,0,1,5
away_stat,2,Jaret,Michieli,27,T,6,4,3,0,4,4,2,4,1,1,0,0,2,12
away_stat,0,Koppa,Enos,29,T,2,2,1,0,0,0,0,1,0,0,0,0,0,4
away_stat,3,Miles,Allen,33,T,1,1,2,2,1,0,0,1,0,0,1,1,0,8
away_stat,0,Joom Koppa,Enos,36,T,4,2,0,0,0,0,1,1,1,0,0,1,0,4
