date,2023-09-24T11:00:00-07:00,,,,,,,,,,,,,,,,,,
home_score,41,,,,,,,,,,,,,,,,,,
away_score,50,,,,,,,,,,,,,,,,,,
location,"Veteran's Hall, Grass Valley CA",,,,,,,,,,,,,,,,,,
season_id,1,,,,,,,,,,,,,,,,,,
home_team,3,,,,,,,,,,,,,,,,,,
away_team,2,,,,,,,,,,,,,,,,,,
referee1,Carl,,,,,,,,,,,,,,,,,,
referee2,Kathy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Brian's Grass Valley Royals,,,ID,PLAYED?,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
home_stat,23,Brian,Fererro,3,T,5,3,4,0,7,5,0,0,1,2,0,4,3,11
home_stat,84,Jared,Brautigam,11,T,4,3,8,3,1,0,2,7,0,3,2,2,2,15
home_stat,1,Kenny,G,15,T,3,1,6,0,0,0,2,1,3,0,0,1,5,2
home_stat,12,Josh,Fisher,18,F,,,,,,,,,,,,,,0
home_stat,9,Tyler,Salcedo,19,F,,,,,,,,,,,,,,0
home_stat,2,Jaret,Michieli,27,T,6,2,8,0,5,2,4,7,1,0,0,2,6,6
home_stat,0,Koppa,Enos,29,F,,,,,,,,,,,,,,0
home_stat,3,Miles,Allen,33,T,2,1,4,1,0,0,1,0,0,0,0,0,0,5
home_stat,0,Joom Koppa,Enos,36,T,3,1,1,0,0,0,2,2,0,2,0,1,2,2

,Grayson's Guards ,,,ID,,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
away_stat,2,Grayson,Callahan Shively,2,F,,,,,,,,,,,,,,0
away_stat,23,Michael,Angelillo,5,T,0,0,1,0,0,0,0,3,0,0,0,0,2,0
away_stat,55,Louie,Costanzo,8,F,,,,,,,,,,,,,,0
away_stat,31,Isaac,Van Etten,10,T,9,4,7,2,8,3,1,2,1,1,0,4,1,17
away_stat,8,Jeffrey,Tate,12,T,11,8,0,0,0,0,2,2,0,1,0,4,2,16
away_stat,5,Gabriel,Beeson-McArdle,13,T,7,3,0,0,4,2,3,5,1,0,0,3,4,8
away_stat,4,Gabriel,Ramirez,20,T,1,0,1,0,0,0,0,2,0,3,0,0,0,0
away_stat,3,Otis,O'Toole,21,F,,,,,,,,,,,,,,0
away_stat,91,Tarzan,Couri,25,T,8,3,0,0,6,3,1,9,1,0,1,0,4,9
