date,2023-10-01,,,,,,,,,,,,,,,,,,
home_score,36,,,,,,,,,,,,,,,,,,
away_score,43,,,,,,,,,,,,,,,,,,
location,"Veteran's Hall, Grass Valley CA",,,,,,,,,,,,,,,,,,
season_id,1,,,,,,,,,,,,,,,,,,
home_team,2,,,,,,,,,,,,,,,,,,
away_team,4,,,,,,,,,,,,,,,,,,
referee1,Carl,,,,,,,,,,,,,,,,,,
referee2,Other,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Grayson's Guards ,,,ID,PLAYED?,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
home_stat,2,Grayson,Callahan Shively,2,T,15,5,3,0,3,0,1,3,0,3,0,2,2,10
home_stat,23,Michael,Angelillo,5,T,1,1,4,1,0,0,1,2,1,0,0,3,1,5
home_stat,55,Louie,Costanzo,8,F,,,,,,,,,,,,,,0
home_stat,31,Isaac,Van Etten,10,F,,,,,,,,,,,,,,0
home_stat,8,Jeffrey,Tate,12,T,12,7,0,0,6,4,5,6,1,1,0,0,5,18
home_stat,5,Gabriel,Beeson-McArdle,13,F,,,,,,,,,,,,,,0
home_stat,4,Gabriel,Ramirez,20,T,2,0,1,0,0,0,1,1,2,0,0,2,0,0
home_stat,3,Otis,O'Toole,21,T,6,1,1,0,2,1,4,8,1,0,2,3,1,3
home_stat,91,Tarzan,Couri,25,F,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ryan's Wos Wangeles Wakers,,,ID,PLAYED?,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
away_stat,3,Ryan,Clark,4,T,17,6,12,2,2,0,0,4,0,0,0,2,3,18
away_stat,33,Chris,Wheeler,7,T,5,2,2,0,0,0,0,5,0,3,0,1,1,4
away_stat,21,Michael,White,16,F,,,,,,,,,,,,,,0
away_stat,7,Iain,Dooly,17,T,1,1,1,0,4,3,5,7,6,2,0,2,5,5
away_stat,22,Evan,Portier,24,T,0,0,0,0,0,0,1,0,0,0,0,2,2,0
away_stat,10,Eric,Andreson,28,T,4,1,0,0,0,0,2,2,2,2,0,2,1,2
away_stat,2,Cadian,Ramirez,32,T,1,1,2,0,0,0,2,0,0,0,0,0,2,2
away_stat,12,Owen,McIver,34,F,,,,,,,,,,,,,,0
away_stat,4,Aiden,Panock,35,T,9,4,6,1,2,1,1,3,1,2,0,3,2,12
