date,2023-10-15,,,,,,,,,,,,,,,,,,
home_score,43,,,,,,,,,,,,,,,,,,
away_score,37,,,,,,,,,,,,,,,,,,
location,"Veteran's Hall, Grass Valley CA",,,,,,,,,,,,,,,,,,
season_id,1,,,,,,,,,,,,,,,,,,
home_team,1,,,,,,,,,,,,,,,,,,
away_team,4,,,,,,,,,,,,,,,,,,
referee1,Nathan,,,,,,,,,,,,,,,,,,
referee2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Tule's Titans,,,ID,PLAYED?,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
home_stat,7,Tule,Edwards,1,F,,,,,,,,,,,,,,0
home_stat,4,Ben,Maselli,6,T,11,7,1,0,6,6,0,3,1,4,0,1,3,20
home_stat,18,Chris,Mahurin,9,T,5,2,1,0,1,1,2,4,0,0,0,0,2,5
home_stat,9,John,Hoyt,14,T,0,0,0,0,0,0,0,0,0,0,0,1,0,0
home_stat,33,Nick,Barry,22,T,4,2,7,1,3,1,1,3,1,2,0,3,1,8
home_stat,13,Christian,Rotunno,23,T,4,2,0,0,0,0,1,3,0,3,0,0,0,4
home_stat,52,Arend,Hall,26,T,2,1,0,0,0,0,1,6,0,0,3,1,2,2
home_stat,0,Tomas,Armijo,30,T,4,1,2,0,0,0,0,2,0,2,0,4,0,2
home_stat,1,Dylan,Ramirez,31,T,7,1,1,0,0,0,0,5,2,3,0,3,1,2
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Ryan's Wos Wangeles Wakers,,,ID,,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
away_stat,3,Ryan,Clark,4,T,6,1,8,1,0,0,1,0,0,1,0,1,1,5
away_stat,33,Chris,Wheeler,7,T,4,1,4,4,2,1,1,2,0,2,0,1,0,15
away_stat,21,Michael,White,16,F,,,,,,,,,,,,,,0
away_stat,7,Iain,Dooly,17,T,3,2,1,0,0,0,3,4,3,1,1,4,6,5
away_stat,22,Evan,Portier,24,,,,,,,,,,,,,,,0
away_stat,10,Eric,Andreson,28,T,5,2,2,0,0,0,2,7,2,2,0,3,1,4
away_stat,2,Cadian,Ramirez,32,T,2,0,0,0,0,0,1,0,0,1,0,1,1,0
away_stat,12,Owen,McIver,34,F,,,,,,,,,,,,,,0
away_stat,4,Aiden,Panock,35,T,9,4,10,0,0,0,2,6,2,2,0,4,1,8
