date,2023-10-15T20:00:00-07:00,,,,,,,,,,,,,,,,,,
home_score,52,,,,,,,,,,,,,,,,,,
away_score,65,,,,,,,,,,,,,,,,,,
location,"Veteran's Hall, Grass Valley CA",,,,,,,,,,,,,,,,,,
season_id,1,,,,,,,,,,,,,,,,,,
home_team,2,,,,,,,,,,,,,,,,,,
away_team,3,,,,,,,,,,,,,,,,,,
referee1,Nathan,,,,,,,,,,,,,,,,,,
referee2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Grayson's Guards ,,,ID,,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
home_stat,2,Grayson,Callahan Shively,2,T,13,3,8,2,2,0,2,2,0,5,0,1,3,12
home_stat,23,Michael,Angelillo,5,F,,,,,,,,,,,,,,0
home_stat,55,Louie,Costanzo,8,T,3,0,1,0,5,3,4,3,2,0,0,0,0,3
home_stat,31,Isaac,Van Etten,10,T,3,2,9,4,0,0,2,4,3,2,1,0,1,16
home_stat,8,Jeffrey,Tate,12,T,16,6,2,0,4,3,1,4,0,2,0,2,1,15
home_stat,5,Gabriel,Beeson-McArdle,13,T,5,0,4,2,0,0,4,3,2,0,0,0,0,6
home_stat,4,Gabriel,Ramirez,20,T,0,0,2,0,0,0,0,2,0,0,0,0,1,0
home_stat,3,Otis,O'Toole,21,F,,,,,,,,,,,,,,0
home_stat,91,Tarzan,Couri,25,F,,,,,,,,,,,,,,0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Brian's Grass Valley Royals,,,ID,PLAYED?,2A,2M,3A,3M,FTA,FTM,OR,DR,AST,STL,BLK,TO,F,P
away_stat,23,Brian,Fererro,3,,5,1,1,0,0,0,0,0,0,2,1,1,0,2
away_stat,84,Jared,Brautigam,11,T,7,2,2,1,0,0,1,2,0,1,5,2,2,7
away_stat,1,Kenny,G,15,T,4,1,2,0,0,0,0,8,6,0,0,2,3,2
away_stat,12,Josh,Fisher,18,T,2,0,0,0,0,0,0,4,4,1,0,1,1,0
away_stat,9,Tyler,Salcedo,19,,,,,,,,,,,,,,,0
away_stat,2,Jaret,Michieli,27,T,8,5,12,6,2,2,3,4,2,2,0,5,4,30
away_stat,0,Koppa,Enos,29,T,7,5,5,2,2,1,6,1,1,1,0,0,0,17
away_stat,3,Miles,Allen,33,T,6,2,1,1,0,0,2,6,0,0,0,2,2,7
away_stat,0,Joom Koppa,Enos,36,F,,,,,,,,,,,,,,0
